entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title
Bolla Operating Corp.,,27,Pizza Hut,1,No,NY,NJ | NY,2,516/240-8651,130 NJ-17,,,,
Carlos R Mateos,,26,McDonald's,1,No,NY,NY | VA | WV,3,315-232-4166,58 W CHURCH ST,,,,
Harold T Clark,,26,McDonald's,1,No,NY,NY | PA,2,607-625-3009,7774 NYS RT 434,,,,
Bruce D Colley,,26,McDonald's,1,No,NY,NY,1,718-220-1982,2630 JEROME AVE,,,,
"Tlc Central, Llc",,25,Applebee's,1,No,NY,NY | PA,2,(315) 336-9833,1794 Black River Blvd.,,,,
"Tlc West, Llc",,25,Applebee's,1,No,NY,NY,1,(585) 425-4700,585 Moseley Road,,,,
Paul Hendel,,24,McDonald's,1,No,NY,NY,1,718-932-8690,2250 31ST ST,,,,
"Cookston, Robert L.",,23,Domino's,1,No,NY,CT | NY | WA,3,(860) 225-6644,1523-B Stanley Street,,,,
"Liberty Restaurants Of Rochester, Llc.","Liberty Restaurants Group, Inc. / Liberty Restaurants Of Albany, Llc. / Liberty Restaurants Of Rochester, Llc. / Liberty Restaurants Of Syracuse, Llc / Liberty Restaurants, Llc.",23,Popeyes,1,No,NY,NY,1,(518) 599-0287,900 Central Ave,,,,
Qsr Nyc Llc,Qsr Ny Llc / Qsr Nyc Llc,22,KFC,1,No,NY,NY,1,919/225-5363,108-30 Flatlands Ave,,,,
Katie Hunt-Rotolo,,22,McDonald's,1,No,NY,NY,1,631-273-1077,762 SUFFOLK AVE,,,,
Paul Goodman,,22,McDonald's,1,No,NY,NY,1,718-693-5353,943 FLATBUSH AVE,,,,
"Apple Food Service Of Long Island, Llc","Apple Food Service Of Deer Park Llc / Apple Food Service Of Long Island, Llc / Apple Food Service Of New York, Llc / Apple Food Service Of Suffolk, Llc / Apple Food Service Of Woodmere, Llc",21,Applebee's,1,No,NY,NY,1,(631) 226-2200,600-A N. Wellwood Ave.,,,,
Doherty Apple Bronx Terminal Market Llc,"Doherty Apple Bed Stuy Llc / Doherty Apple Broadway Llc / Doherty Apple Bronx Terminal Market Llc / Doherty Apple Cortlandt Llc / Doherty Apple Executive Blvd. Llc / Doherty Apple Expressway Llc / Doherty Apple Fresh Meadows Llc / Doherty Apple Gateway Center Llc / Doherty Apple Hawthorne Llc / Doherty Apple New Dorp Llc / Doherty Apple New Rochelle Llc / Doherty Apple Nyc, Llc / Doherty Apple Outer Bridge Llc / Doherty Apple Queens Center Llc / Doherty Apple Riverdale Llc / Doherty Apple Sheepshead Bay Llc / Doherty Apple Throgs Neck Llc / Doherty Apple Wc, Llc",21,Applebee's,1,No,NY,NY,1,(347) 505-3300,2201 Nostrand Ave,,,,
"Applegreen Ny Travel Plazas, Llc.","Applegreen Ny Travel Plazas Llc / Applegreen Ny Travel Plazas, Llc.",21,Burger King | Popeyes,2,Yes,NY,NY,1,(518) 971-9805,Ny St Thruway Mile 172 E,,,,
Harry Schatmeyer,,20,McDonald's,1,No,NY,NY,1,716-833-2159,1385 NIAGARA FALLS BLVD,,,,
Josef Gialil,,20,McDonald's,1,No,NY,NY,1,518-843-1023,158 MARKET ST,,,,
"Sharma, Yash P.","Sharma, Yash / Sharma, Yash P.",15,Domino's,1,No,NY,NY,1,(516) 822-0030,157 Levittown Pkwy.,,,,
"Kedis Enterprises 4, Llc","Kedis Enterprises 4, Llc / Kedis Enterprises 5, Llc / Kedis Enterprises 6, Llc / Kedis Enterprises, Llc",14,KFC,1,No,NY,NY,1,516/775-3347,910 Broadway,,,,
Bryan O Colley,,14,McDonald's,1,No,NY,NY,1,914-244-8596,605 BEDFORD RD,,,,
217 Hillside Chicken Corp.,125 Chicken Corp / 1370 Jerome Burger Corp / 1370 Jerome Chicken Corp. / 163 Chicken Corp. / 1636 Chicken Corp. / 166 Chicken Corp. / 175 Chicken Corp / 197 Chicken Corp. / 217 Hillside Chicken Corp. / 313 Burger Corp. / 313 Chicken Corp / 601 Chicken Corp. / Grb Chicken Corp.,13,Burger King | Popeyes,2,Yes,NY,NY,1,(917) 473-6449,1380 Jerome Ave,,,,
Pak Mt. Vernon Management Inc.,"Pak Astoria Management Inc. / Pak Boston Management Inc. / Pak Elmsford Management Inc. / Pak Fordham Management Inc. / Pak Gunhill Management Inc. / Pak Harlem Management Inc. / Pak Main Management, Inc. / Pak Mt. Vernon Management Inc. / Pak Norwich Management, Inc. / Pak Nyc Management Inc / Pak Owego Management, Inc. / Pak Robinson Management, Inc. / Pak Vestal Management, Inc.",13,KFC,1,No,NY,NY,1,718/721-2500,3042 Steinway Street,,,,
Timothy G Potter,,13,McDonald's,1,No,NY,NY,1,585-396-1350,17 ELLEN POLIMENI BLVD,,,,
The Daland Corporation,,13,Pizza Hut,1,No,NY,NY | PA,2,315/386-4170,"5933 US Highway 11, University Shopping Ctr.",,,,
"Amazing Burgers, Llc (Gregory Slayton And Paul Slayton)","Amazing Burgers, Llc (Greg Slayton And Paul Slayton) / Amazing Burgers, Llc (Gregory Slayton And Paul Slayton) / Amazing Burgers, Llc (Gregory Slayton, Paul Slayton)",12,Five Guys,1,No,NY,NY,1,929-324-6301,581 Hutchinson River Pkwy.,,,,
Rosario Iraci,,12,McDonald's,1,No,NY,NJ | NY | PA,3,347-305-0656,891 CUMMUNIPAW AVE,,,,
Dave Opstad,,12,McDonald's,1,No,NY,NY,1,518-622-8720,7621 NY-32,,,,
New York Food & Drink 4416 Fort Hamilton Inc.,"New York Food & Drink 4416 Fort Hamilton Inc. / New York Food & Drink 7123 Fort Hamilton Inc / New York Food & Drink 7Th Ave Inc. / New York Food & Drink Avenue U, Inc. / New York Food & Drink Bay Parkway Inc. / New York Food & Drink Bensonhurst, Inc. / New York Food & Drink Gravesend Inc. / New York Food & Drink Long Island City, Inc / New York Food & Drink Main Street Inc. / New York Food & Drink Queens Boulevard, Inc. / New York Food & Drink Sunset Park, Inc. / New York Food & Drink Whitestone Inc.",12,Popeyes,1,No,NY,NY,1,(347) 627-2738,4416 Fort Hamilton Pkwy,,,,
Munson Of 1258 Lexington Ave Wings Go Llc,"Munson Of 1258 Lexington Ave Wings Go Llc / Munson Of 125Th Street Wings Go Llc / Munson Of 31St Street Wings Go, Llc / Munson Of Bellmore Wings Go Llc / Munson Of Garden City Wings Llc / Munson Of Hicksville Wings Llc / Munson Of Nanuet Wings Llc / Munson Of New Rochelle Wings Llc / Munson Of Staten Island Wings Llc / Munson Of Valley Stream Wings Llc / Munson Of White Plains Wings Llc",11,Buffalo Wild Wings,1,No,NY,NY,1,516-794-9453,630 Stewart Avenue,,,,
Apple West Co. Inc.,,11,Burger King,1,No,NY,NY,1,(516) 731-3294,4201 Hempstead Turnpike,,,,
Jonah Kaufman,,11,McDonald's,1,No,NY,NY,1,631-789-4033,900 BROADWAY RT 110,,,,
Gerald Laurino,,11,McDonald's,1,No,NY,NY,1,718-827-4227,2797 LINDEN BLVD,,,,
John Bert,,11,McDonald's,1,No,NY,NY,1,718-358-1177,138-11 20TH AVE,,,,
Sk Restaurants Of Nyc Llc,Sk Restaurants Of Ny Llc / Sk Restaurants Of Nyc Llc,11,Popeyes,1,No,NY,NY,1,(929) 324-7788,1630 Bushwick Ave,,,,
Sultanzada,,10,Burger King,1,No,NY,NJ | NY,2,(973) 688-8958,308 Elizabeth Ave,,,,
Herbert J Thomas,Herbert J Thomas / Herbert Thomas,10,McDonald's,1,No,NY,NJ | NY,2,973-316-6115,568 MYRTLE AVE,,,,
Julio Morgan Gillis,,10,McDonald's,1,No,NY,NJ | NY,2,201-487-1347,343 RIVER ST,,,,
Dean W Colley,,10,McDonald's,1,No,NY,NY,1,845-825-0962,254 RT 9 W,,,,
"Bart-Rich Enterprises, Inc.",,9,Burger King,1,No,NY,NY | PA,2,(585) 394-4038,U S 5 & Muar Rd,,,,
John Laurino,,9,McDonald's,1,No,NY,NY,1,718-342-7253,15 JAMAICA AVE,,,,
Grant D Kemmerer,,9,McDonald's,1,No,NY,NY,1,607-733-2303,410-15 N MAIN ST,,,,
Legacy Sandwich New Scotland Llc,Legacy Sandwich 157 Llc / Legacy Sandwich 34Th Street Llc / Legacy Sandwich 5Th Ave Llc / Legacy Sandwich Baldwin Llc / Legacy Sandwich Glen Cove Llc / Legacy Sandwich Huntington Llc / Legacy Sandwich Levittown Llc / Legacy Sandwich New Scotland Llc,8,Jimmy John's,1,No,NY,NY,1,518-618-3875,33 New Scotland Avenue,,,,
Joshua Kaufman,,8,McDonald's,1,No,NY,NY,1,516-385-2729,1255 GRAND AVE,,,,
Louis Buono,,8,McDonald's,1,No,NY,NY,1,585-637-2350,6500 BROCKPORT SPENCER PORT RD,,,,
Juan A Rodriguez,,8,McDonald's,1,No,NY,NY,1,347-802-4395,1982 WESTCHESTER AVENUE,,,,
David Freiman,,8,McDonald's,1,No,NY,NY,1,716-226-3056,4217 GENESEE ST,,,,
"Ali, Raja Shahid",,7,Domino's,1,No,NY,NY,1,(718) 531-0210,2048 Rockaway Pkwy,,,,
Pioneer Qsr Enterprises Llc,,7,KFC,1,No,NY,NY,1,516/775-3347,210 East Main Street,,,,
Colleen M Mclaughlin,,7,McDonald's,1,No,NY,NY,1,315-488-5459,5288 W GENESEE ST,,,,
William R Marcellus,,7,McDonald's,1,No,NY,NY | VT,2,518-298-3011,1044 RTE 11,,,,
Elisa Castiglione,,7,McDonald's,1,No,NY,NY,1,516-488-6680,1420 HEMPSTEAD TURNPIKE,,,,
Operation Brain Freeze (Dewey Ave) Llc.,Operation Brain Freeze (Cicero) Llc / Operation Brain Freeze (Colonie) Llc / Operation Brain Freeze (Dewey Ave) Llc. / Operation Brain Freeze (Lancaster) Llc / Operation Brain Freeze (Webster) Llc / Operation Brain Freeze Llc,6,Dairy Queen,1,No,NY,NY,1,5857340504,7984 Brewerton Rd,,,,
"Jara, Giovani",,6,Domino's,1,No,NY,NY,1,(212) 567-8600,4797 Broadway,,,,
Matthew Potter,,6,McDonald's,1,No,NY,NJ | NY | PA,3,973-293-3671,13 RT 23 RD,,,,
Jeffrey Byrne,,6,McDonald's,1,No,NY,NY,1,716-832-6221,3540 MAIN ST,,,,
Michael A Sullivan,,6,McDonald's,1,No,NY,NY,1,718-423-1577,203-11 NORTHERN BLVD,,,,
Catherine P Perna,,6,McDonald's,1,No,NY,NY,1,718-798-6196,1212 E GUN HILL RD,,,,
Warren D Weichbrodt,,6,McDonald's,1,No,NY,NY,1,585-865-4851,3700 DEWEY AVENUE,,,,
Jaime Liedtke,,6,McDonald's,1,No,NY,NY,1,516-681-2434,280 N BROADWAY,,,,
Westside Wings New Scotland Llc,"Westside Wings Coop City Llc / Westside Wings Crosstown Llc / Westside Wings New Scotland Llc / Westside Wings Parkchester, Llc / Westside Wings Troy Llc",5,Buffalo Wild Wings,1,No,NY,NY,1,518-992-4912,33 New Scotland Avenue,,,,
"Bartlett Investment Group, Llc",,5,Burger King,1,No,NY,NY,1,(315) 386-8779,18 State Highway 310,,,,
Xhani Llc,,5,Burger King,1,No,NY,NY,1,(845) 897-5437,730 Rt 9,,,,
Perfect Pretzels Inc.,,5,Cinnabon | Jamba,2,Yes,NEW YORK,NEW YORK,1,(818) 634-2449,Commissary: 424 Hoyt Street,,,,
Thomas G Parker,,5,McDonald's,1,No,NY,NY,1,718-267-1343,31-67 STEINWAY ST,,,,
Kris Sexton,,5,McDonald's,1,No,NY,NY,1,607-753-3402,158 CLINTON AVE,,,,
Josie Trefz,,5,McDonald's,1,No,NY,NY,1,914-737-2400,3481 US HIGHWAY 202,,,,
Joy Carlos Wong,,5,McDonald's,1,No,NY,NY,1,845-877-3514,3078 ROUTE 22,,,,
"Banta Bww Mdt, Llc","Banta Bww Kg, Llc / Banta Bww Mdt, Llc / Banta Bww Nb, Llc / Banta Bww On, Llc",4,Buffalo Wild Wings,1,No,NY,NY,1,845-395-3265,1266 Ulster Avenue,,,,
"Tri-King Ventures, Llc",,4,Burger King,1,No,NY,NY | PA,2,(315) 687-7045,520 Genesee St,,,,
Froccaro,,4,Burger King,1,No,NY,NY,1,(718) 672-0855,91-18 Astoria Blvd,,,,
Adirondack Chicken Corp.,,4,KFC,1,No,NY,NY,1,518/452-5757,3414 State Route 11,,,,
Perla L Gonzalez,,4,McDonald's,1,No,NY,NY,1,716-828-0899,3450 MCKINLEY PKWY,,,,
Sam R Deluca,,4,McDonald's,1,No,NY,NY,1,718-822-1040,3660 E TREMONT AVE,,,,
Michael J Mclaughlin,,4,McDonald's,1,No,NY,NY,1,315-629-4078,7952 ROUTE 11,,,,
Michael Daggett,,4,McDonald's,1,No,NY,NY,1,631-878-2099,626 MONTAUK HWY,,,,
Lauren Hendel Frew,,4,McDonald's,1,No,NY,NY,1,718-217-7405,204-11 HILLSIDE AVE,,,,
Allegany Pizza Llc,,4,Pizza Hut,1,No,NY,NY,1,607/654-5060,55 E. Pulteney St,,,,
Hamza Warriach,,3,Cinnabon,1,No,NEW YORK,NEW YORK,1,(518) 250-0996,1 Crossgates Mall Rd.,,,,
"Mohammed Ali Razai, Akm Masud Hasan, Mustaque Ahmed, Bipul Saha","Mohammed Ali Razai / Mohammed Ali Razai, Akm Masud Hasan, Mustaque Ahmed, Bipul Saha",3,Cinnabon,1,No,NEW YORK,NEW YORK,1,646-667-9058,203 East Fordham Road,,,,
Brooklyn Caledonia Iii Llc,Brooklyn Caledonia Iii Llc / Brooklyn Caledonia Llc,3,Jimmy John's,1,No,NY,NY,1,718-636-2085,504 Myrtle Ave,,,,
Indus Kfny Inc.,,3,KFC,1,No,NY,NY,1,585/248-2440,135 Eastern Boulevard,,,,
C & B Restaurant Corp.,,3,KFC,1,No,NY,NY,1,845/429-7504,286 West Route 59,,,,
Justin Maccarthy,,3,McDonald's,1,No,NY,NY,1,585-226-6770,250 EAST MAIN ST,,,,
W. David Foster,,3,McDonald's,1,No,NY,NY,1,607-776-3992,398 W MORRIS ST,,,,
Cortesia Norman,,3,McDonald's,1,No,NY,NY,1,347-963-9691,1540 WESTCHESTER AVE,,,,
Mark B Hendel,,3,McDonald's,1,No,NY,NY,1,999-999-9999,1275 FULTON STEET,,,,
Anthony M Liedtke,,3,McDonald's,1,No,NY,NY,1,631-351-2105,344 W JERICHO TPKE,,,,
Richard Krahling,,3,McDonald's,1,No,NY,NY,1,315-823-0845,50 ALBANY ST,,,,
Abdul Hadi Mowla,,3,McDonald's,1,No,NY,NY,1,315-524-4061,1204 RT 104,,,,
Brian Spillane,,3,McDonald's,1,No,NY,NY,1,718-720-6907,1815 FOREST AVE,,,,
"Aj New York Management, Llc",,2,Buffalo Wild Wings,1,No,NY,NY,1,631-730-1859,125 East Main Street,,,,
"Cammilleri Holdings, Llc","Cammilleri / Cammilleri Holdings, Llc",2,Burger King,1,No,NY,NY,1,(585) 589-7325,167 S. Main St,,,,
1607 Food Corp.,1607 Food Corp. / 1908 Food Corp.,2,Burger King | Popeyes,2,Yes,NY,NY,1,(347) 297-3524,1607 Westchester Ave,,,,
60 Metropolitan Operating Corp.,,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 969-7025,60 Metropolitan Oval,,,,
624 South Conduit Operating Corp.,624 Conduit Operating Corp. / 624 South Conduit Operating Corp.,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 348-9517,624 S Conduit Blvd,,,,
234 Utica Operating Corp.,234 Utica Operating Corp / 234 Utica Operating Corp.,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 338-6821,23-43 Utica Ave,,,,
8516 - Fifth Avenue Operating Corp.,8516 - Fifth Avenue Operating Corp. / Fifth Avenue Operating Corp.,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 630-5535,8516 5th Ave,,,,
Jsc Destinyusa Food Court Llc,"Jsc Destinyusa Food Court Llc / Jsc Wallden Food Court, Llc",2,Burger King,1,No,NY,NY,1,(585) 505-8773,Walden Galleria Mall Food Court 1 Galleria Drive,,,,
239 Elmont Operating Corp.,,2,Burger King | Popeyes,2,Yes,NY,NY,1,(516) 285-7786,239-25 Linden Blvd,,,,
164 Turnpike Operating Corp.,,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 969-3423,164-17 Union Turnpike,,,,
16150 Cross Bay Operating Corp.,,2,Burger King | Popeyes,2,Yes,NY,NY,1,(718) 845-3008,161 Cross Bay Blvd,,,,
"Monticello Rest. 14398, Llc","Monticello Chicken Llc / Monticello Rest. 14398, Llc",2,Burger King | Popeyes,2,Yes,NY,NY,1,(845) 791-6507,4349 State Route 42,,,,
Jsc West Henrietta Llc.,Jsc West Henrietta Llc. / Jsc West Seneca Llc,2,Burger King,1,No,NY,NY,1,(585) 601-0594,4799 West Henrietta Rd,,,,
"Nidhi Preeti, Sohan Chadha","Nidhi Preeti / Nidhi Preeti, Sohan Chadha",2,Cinnabon,1,No,NEW YORK,NEW YORK,1,347-242-2237,3189A Steinway St.,,,,
"Altaf Masalawala, Muhammad Rizwan",,2,Cinnabon,1,No,NEW YORK,NEW YORK,1,347.365.8874,1194 Fulton St.,,,,
Delectable Delights Llc,,2,Cinnabon,1,No,NEW YORK,NEW YORK,1,718-535-0613,403 86th St.,,,,
Foster Ice Cream And Coffee Inc.,,2,Cinnabon,1,No,NEW YORK,NEW YORK,1,(718) 708-2500,715 Flatbush Avenue,,,,
"Goldy Whadwa, Roozi Whadwa, Vinny Vig","Goldy Whadwa, Roozi Whadwa, Vinny Vig / Prema Vig, Roozi Whadwa, Goldy Whadwa",2,Cinnabon,1,No,NEW YORK,NEW YORK,1,(718) 692-3331,5174 Kings Plaza,,,,
"Rajpal Kaur, Jaideep Kaur","Rajpal Kaur / Rajpal Kaur, Jaideep Kaur",2,Cinnabon,1,No,NEW YORK,NEW YORK,1,929-292-0035,3694 Nostrand Ave.,,,,
"Umme Hafeez, Jehanzaib Gondal","Jehan Gondal, Umme Hafeez / Umme Hafeez, Jehanzaib Gondal",2,Cinnabon,1,No,NEW YORK,NEW YORK,1,347-312-6977,509 Brighton Beach Ave.,,,,
5253 Llc,,2,Cinnabon,1,No,NEW YORK,NEW YORK,1,646-375-0621,430 E 14th St.,,,,
Rackson Restaurants Llc,,2,Cinnabon,1,No,NEW YORK,NEW YORK,1,(917) 338-1887,106 Liberty Street,,,,
Big Flats Dining Associates Llc,Big Flats Dining Associates Llc / Ithaca Dining Associates Llc,2,Dairy Queen,1,No,NY,NY,1,6072150088,873 County Road 64,,,,
"Hanley, Christopher M.",,2,Domino's,1,No,NY,NY,1,(631) 744-5200,Turning Point Commons 271 Route 25A #10,,,,
21033 Fg Corp (David Noor),,2,Five Guys,1,No,NY,NY,1,718-225-7600,210-33A 26th Ave.,,,,
"Sal'S Subs Ii, Llc","Sal'S Subs Ii, Llc / Sal'S Subs, Llc",2,Jimmy John's,1,No,NY,NY,1,315-732-1725,22 Campion Rd,,,,
"Kotes Of Jerome, Llc","Kotes Of Carmel Llc / Kotes Of Jerome, Llc",2,KFC,1,No,NY,NY,1,917/566-1748,3394 Jerome Ave,,,,
Kotes Of Peekskill Llc,Kotes Of Hopewell Llc / Kotes Of Peekskill Llc,2,KFC,1,No,NY,NY,1,917/566-1748,413 RT 376,,,,
"Kotes Of Hudson, Llc",,2,KFC,1,No,NY,NY,1,917/566-1748,426 Foxhall Avenue,,,,
"White, David R.",,2,KFC,1,No,NY,NY,1,518/452-5757,371 S. Main St,,,,
"Kotes Management, Llc",,2,KFC,1,No,NY,NY,1,917/566-1748,1229 Nepperhan Avenue,,,,
1866-0001,1866-0001 / 1866-0002,2,Little Caesars,1,No,NEW YORK,NEW YORK,1,,218-14 HEMPSTEAD AVE,,,,
Joseph Guerriera,,2,McDonald's,1,No,NY,NY,1,718-585-8368,85 BRUCKNER BLVD,,,,
Diane P Bustos,,2,McDonald's,1,No,NY,NY,1,716-656-7846,2567 UNION RD,,,,
Janis Kemmerer,,2,McDonald's,1,No,NY,NY,1,315-637-9050,400 TOWNE DRIVE,,,,
Giovanna Solimeo,,2,McDonald's,1,No,NY,NY,1,718-939-1881,40-18 MAIN STREET,,,,
Joe Ferrino,,2,McDonald's,1,No,NY,NY,1,585-243-0509,4162 LAKEVILLE RD,,,,
Maria J Sullivan,,2,McDonald's,1,No,NY,NY,1,718-343-5367,256-03 UNION TURNPIKE,,,,
Roderick Miller,,2,McDonald's,1,No,NY,NY,1,585-392-3535,140 SOUTH AVE,,,,
Steven Frazier,,2,McDonald's,1,No,NY,NY,1,516-876-0140,105 JERICHO TPKE,,,,
Peter Rotolo,,2,McDonald's,1,No,NY,NY,1,516-248-8402,60 JERICHO TPKE,,,,
Renee Reardon,,2,McDonald's,1,No,NY,NY,1,518-793-9446,819 RTE 9,,,,
Davis Jean-Louis,,2,McDonald's,1,No,NY,NY,1,585-288-1182,820 CULVER RD,,,,
Joseph Liegeois,,2,McDonald's,1,No,NY,NY,1,585-473-7966,1422-32 MOUNT HOPE AVE,,,,
Hector Urena,,2,McDonald's,1,No,NY,NY,1,585-734-2948,,,,,
Mps Pizza Llc,,2,Pizza Hut,1,No,NY,NY,1,516/935-3100,1 Newbridge Road,,,,
City Pizza Development Llc,,2,Pizza Hut,1,No,NY,NY,1,646/532-6486,264 West 23rd Street,,,,
64Th Street Food & Drink Brooklyn Inc.,64Th Street Food & Drink Brooklyn Inc. / 86Th Street Food & Drink Brooklyn Inc.,2,Popeyes,1,No,NY,NY,1,(347) 799-2449,6013 7th Ave,,,,
9400 Liberty Chicken Llc,"9400 Liberty Chicken Llc / Liberty Chicken, Inc.",2,Popeyes,1,No,NY,NY,1,(917) 694-0144,16525 Liberty Ave,,,,
221 Chicken Corp.,121 Chicken Corp / 221 Chicken Corp.,2,Popeyes,1,No,NY,NY,1,(631) 225-3100,121 West Montauk Highway,,,,
2557 Richmond Chicken Llc,2557 Richmond Chicken Llc / 2655 Richmond Chicken Llc,2,Popeyes,1,No,NY,NY,1,929-256-1620,2557 Richmond Ave,,,,
"2363 Forest Chicken, Llc.","2363 Forest Chicken, Llc. / Forest Chicken, Llc",2,Popeyes,1,No,NY,NY,1,(718) 720-1545,1351 Forest Ave,,,,
Hylan Blvd Chicken Llc,Hylan Blvd Chicken Llc / Hylan Chicken Llc,2,Popeyes,1,No,NY,NY,1,929-378-4511,1388 Hylan Blvd,,,,
"42Nd Apple, Llc",,1,Applebee's,1,No,NY,NY,1,(212) 391-7414,234 W. 42nd St.,,,,
"S.I. Mall Apple, Llc",,1,Applebee's,1,No,NY,NY,1,(718) 370-3761,2655 Richmond Avenue,,,,
United One Group Llc,,1,Bojangles,1,No,NY,NY,1,(347) 533-7800,106 Primrose Drive,,,,
"Ssp America, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-751-4769,"JFK International Terminal 4, Room 471.005",,,,
"Pb Wings, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,518-310-3536,200 Consumer Square Mall,,,,
"Banta Nine Malls, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,845-218-9453,1794 South Road,,,,
Ydk Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,518-934-5855,2276 31st Street,,,,
Vaishav Dev Two Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,929-833-1530,8925 Ave. D,,,,
207 Ram Hanuman Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,929-610-6775,1623 Flatbush Avenue,,,,
"Woodcliff Wings, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,315-362-5857,8063 Brewerton Road,,,,
"Drum Wings, Inc",,1,Buffalo Wild Wings,1,No,NY,NY,1,559-218-5838,26000 US-11,,,,
"Kwality Wings, Inc.",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-475-6548,79-23 Main Street,,,,
Wingtopia Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,(718)303-2501,179-19 Hillside Avenue,,,,
Nhp Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,718-289-4804,271-20 Union Turnpike,,,,
"Blaze Wings, Llc",,1,Buffalo Wild Wings,1,No,NY,NY,1,718-674-1171,114-14C Sutphin Blvd,,,,
Sauce Wings Llc,,1,Buffalo Wild Wings,1,No,NY,NY,1,718-841-6585,179-01 Union Turnpike,,,,
