entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title,ny_match_count,ny_first_result_name,ny_entity_number,ny_status,ny_entity_type,ny_formation_date,ny_jurisdiction,ny_agent_name,ny_agent_type,ny_agent_is_individual,ny_agent_address,ny_principal_address,ny_mailing_address,ny_statement_due_date,ny_inactive_date,ny_agent_address_matches_principal,ny_likely_owner_name,ny_operator_pattern,ny_multi_entity_operator,ny_query_used,ny_query_attempts,ny_name_similarity,ny_score,ny_alternates,ny_fetched_at,ny_error,ny_county,ny_ceo_name,ny_ceo_address,ny_dos_process_name,ny_location_address
Bolla Operating Corp.,,27,Pizza Hut,1,No,NY,NJ | NY,2,516/240-8651,130 NJ-17,,,,,1,BOLLA OPERATING CORP.,1270089,Active,DOMESTIC BUSINESS CORPORATION,06/15/1988,New York,BOLLA MANAGEMENT CORP.,,False,"809 STEWART AVE, GARDEN CITY, NY, 11530","809 STEWART AVE, GARDEN CITY, NY, 11530",,,,True,HARVINDER SINGH,owner_operator,False,Bolla Operating Corp.,Bolla Operating Corp.,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Nassau,HARVINDER SINGH,"HARVINDER SINGH, GARDEN CITY, NY, 11530",BOLLA MANAGEMENT CORP.,
Carlos R Mateos,,26,McDonald's,1,No,NY,NY | VA | WV,3,315-232-4166,58 W CHURCH ST,,,,,1,CARLOS R CORPORATION,6696791,Active,DOMESTIC BUSINESS CORPORATION,01/12/2023,New York,CARLOS ROJAS,Individual,True,"8031 87TH RD APT 1, WOODHAVEN, NEW YORK, 11421","8031 87TH RD APT 1, WOODHAVEN, NY, 11421",,,,True,CARLOS ROJAS,owner_operator,False,carlos r,carlos r,0.667,166.67,,2026-05-06T18:37:24.445397+00:00,,Queens,,,CARLOS ROJAS,
Harold T Clark,,26,McDonald's,1,No,NY,NY | PA,2,607-625-3009,7774 NYS RT 434,,,,,1,"HAROLD T. CLARK, LLC",3220083,Active,DOMESTIC LIMITED LIABILITY COMPANY,06/17/2005,New York,"HAROLD T. CLARK, JR. LLC",,False,"185 GENESEE STREET, SUITE 1505, UTICA, NY, 13501","185 GENESEE STREET, SUITE 1505, UTICA, NY, 13501",,,,True,,service_agent,False,Harold T Clark,Harold T Clark,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Oneida,,,"HAROLD T. CLARK, JR. LLC",
Bruce D Colley,,26,McDonald's,1,No,NY,NY,1,718-220-1982,2630 JEROME AVE,,,,,0,,,,,,,,,,,,,,,,,,,Bruce D Colley,Bruce D Colley,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Tlc Central, Llc",,25,Applebee's,1,No,NY,NY | PA,2,(315) 336-9833,1794 Black River Blvd.,,,,,1,"TLC CENTRAL, LLC",4032096,Active,FOREIGN LIMITED LIABILITY COMPANY,12/17/2010,Virginia,"C/O WILLIAM B. MAGNARELLI, ESQ. SCOLARO, SHULMAN, COHEN,",Individual,True,"FETTER & BURSTEIN, P.C., 507 PLUM STREET, SUITE 300, SYRACUSE, NY, 13204","FETTER & BURSTEIN, P.C., 507 PLUM STREET, SUITE 300, SYRACUSE, NY, 13204",,,,True,"C/O WILLIAM B. MAGNARELLI, ESQ. SCOLARO, SHULMAN, COHEN,",attorney_agent,False,"Tlc Central, Llc","Tlc Central, Llc",1.000,170.00,,2026-05-06T18:37:24.445397+00:00,,Erie,,,"C/O WILLIAM B. MAGNARELLI, ESQ. SCOLARO, SHULMAN, COHEN,",
"Tlc West, Llc",,25,Applebee's,1,No,NY,NY,1,(585) 425-4700,585 Moseley Road,,,,,1,"TLC WEST, LLC",4032159,Active,FOREIGN LIMITED LIABILITY COMPANY,12/17/2010,Virginia,"C/O WILLIAM B. MAGNARELLI, ESQ.",Individual,True,"SCOLARO,SHULMAN,COHEN ETAL. PC, 507 PLUM STREET, SUITE 300, SYRACUSE, NY, 13204","SCOLARO,SHULMAN,COHEN ETAL. PC, 507 PLUM STREET, SUITE 300, SYRACUSE, NY, 13204",,,,True,"C/O WILLIAM B. MAGNARELLI, ESQ.",attorney_agent,False,"Tlc West, Llc","Tlc West, Llc",1.000,170.00,,2026-05-06T18:37:24.445397+00:00,,Erie,,,"C/O WILLIAM B. MAGNARELLI, ESQ.",
Paul Hendel,,24,McDonald's,1,No,NY,NY,1,718-932-8690,2250 31ST ST,,,,,0,,,,,,,,,,,,,,,,,,,Paul Hendel,Paul Hendel,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Cookston, Robert L.",,23,Domino's,1,No,NY,CT | NY | WA,3,(860) 225-6644,1523-B Stanley Street,,,,,0,,,,,,,,,,,,,,,,,,,"Cookston, Robert L.","Cookston, Robert L.",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Liberty Restaurants Of Rochester, Llc.","Liberty Restaurants Group, Inc. / Liberty Restaurants Of Albany, Llc. / Liberty Restaurants Of Rochester, Llc. / Liberty Restaurants Of Syracuse, Llc / Liberty Restaurants, Llc.",23,Popeyes,1,No,NY,NY,1,(518) 599-0287,900 Central Ave,,,,,1,LIBERTY RESTAURANTS OF ROCHESTER LLC,6422396,Active,DOMESTIC LIMITED LIABILITY COMPANY,03/04/2022,New York,PARGET SINGH,Individual,True,"11 Allen Street, New Hyde Park, NY, 11040","11 Allen Street, New Hyde Park, NY, 11040",,,,True,PARGET SINGH,owner_operator,True,"Liberty Restaurants Of Rochester, Llc.","Liberty Restaurants Of Rochester, Llc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Monroe,,,PARGET SINGH,
Qsr Nyc Llc,Qsr Ny Llc / Qsr Nyc Llc,22,KFC,1,No,NY,NY,1,919/225-5363,108-30 Flatlands Ave,,,,,1,QSR NYC LLC,5890417,Active,FOREIGN LIMITED LIABILITY COMPANY,12/04/2020,Delaware,C/O CORPORATION SERVICE COMPANY,,False,"80 STATE STREET, ALBANY, NY, 122072543","80 STATE STREET, ALBANY, NY, 122072543",,,,True,,out_of_state_holdco,False,Qsr Nyc Llc,Qsr Nyc Llc,1.000,170.00,,2026-05-06T18:37:24.445397+00:00,,Kings,,,C/O CORPORATION SERVICE COMPANY,
Katie Hunt-Rotolo,,22,McDonald's,1,No,NY,NY,1,631-273-1077,762 SUFFOLK AVE,,,,,0,,,,,,,,,,,,,,,,,,,Katie Hunt-Rotolo,Katie Hunt-Rotolo,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Paul Goodman,,22,McDonald's,1,No,NY,NY,1,718-693-5353,943 FLATBUSH AVE,,,,,0,,,,,,,,,,,,,,,,,,,Paul Goodman,Paul Goodman,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Apple Food Service Of Long Island, Llc","Apple Food Service Of Deer Park Llc / Apple Food Service Of Long Island, Llc / Apple Food Service Of New York, Llc / Apple Food Service Of Suffolk, Llc / Apple Food Service Of Woodmere, Llc",21,Applebee's,1,No,NY,NY,1,(631) 226-2200,600-A N. Wellwood Ave.,,,,,1,"APPLE FOOD SERVICE OF LONG ISLAND, LLC",2541615,Active,DOMESTIC LIMITED LIABILITY COMPANY,08/11/2000,New York,NORTHWEST REGISTERED AGENT LLC,,False,"418 BROADWAY, STE N, ALBANY, NEW YORK, 12207","418 BROADWAY, STE N, ALBANY, NY, 12207",,,,True,,service_agent,True,"Apple Food Service Of Long Island, Llc","Apple Food Service Of Long Island, Llc | apple food",1.000,200.00,"[{""name"": ""APPLE FOOD CORP"", ""num"": ""4198284"", ""score"": 133.33}]",2026-05-06T18:37:24.445397+00:00,,New York,,,NORTHWEST REGISTERED AGENT LLC,
Doherty Apple Bronx Terminal Market Llc,"Doherty Apple Bed Stuy Llc / Doherty Apple Broadway Llc / Doherty Apple Bronx Terminal Market Llc / Doherty Apple Cortlandt Llc / Doherty Apple Executive Blvd. Llc / Doherty Apple Expressway Llc / Doherty Apple Fresh Meadows Llc / Doherty Apple Gateway Center Llc / Doherty Apple Hawthorne Llc / Doherty Apple New Dorp Llc / Doherty Apple New Rochelle Llc / Doherty Apple Nyc, Llc / Doherty Apple Outer Bridge Llc / Doherty Apple Queens Center Llc / Doherty Apple Riverdale Llc / Doherty Apple Sheepshead Bay Llc / Doherty Apple Throgs Neck Llc / Doherty Apple Wc, Llc",21,Applebee's,1,No,NY,NY,1,(347) 505-3300,2201 Nostrand Ave,,,,,1,"DOHERTY APPLE BRONX TERMINAL MARKET, LLC",5679245,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/31/2019,New York,NORTHWEST REGISTERED AGENT LLC,,False,"418 Broadway, STE N, ALBANY, NY, 12207","418 Broadway, STE N, ALBANY, NY, 12207",,,,True,,service_agent,True,Doherty Apple Bronx Terminal Market Llc,Doherty Apple Bronx Terminal Market Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Albany,,,NORTHWEST REGISTERED AGENT LLC,
"Applegreen Ny Travel Plazas, Llc.","Applegreen Ny Travel Plazas Llc / Applegreen Ny Travel Plazas, Llc.",21,Burger King | Popeyes,2,Yes,NY,NY,1,(518) 971-9805,Ny St Thruway Mile 172 E,,,,,1,"APPLEGREEN NY TRAVEL PLAZAS, LLC",5738964,Active,DOMESTIC LIMITED LIABILITY COMPANY,04/16/2020,New York,CORPORATION SERVICE COMPANY,,False,"80 STATE ST., ALBANY, SC, 12207","80 STATE ST., ALBANY, SC, 12207",,,,True,,service_agent,False,"Applegreen Ny Travel Plazas, Llc.","Applegreen Ny Travel Plazas, Llc.",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Albany,,,CORPORATION SERVICE COMPANY,
Harry Schatmeyer,,20,McDonald's,1,No,NY,NY,1,716-833-2159,1385 NIAGARA FALLS BLVD,,,,,0,,,,,,,,,,,,,,,,,,,Harry Schatmeyer,Harry Schatmeyer,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Josef Gialil,,20,McDonald's,1,No,NY,NY,1,518-843-1023,158 MARKET ST,,,,,0,,,,,,,,,,,,,,,,,,,Josef Gialil,Josef Gialil,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Sharma, Yash P.","Sharma, Yash / Sharma, Yash P.",15,Domino's,1,No,NY,NY,1,(516) 822-0030,157 Levittown Pkwy.,,,,,0,,,,,,,,,,,,,,,,,,,"Sharma, Yash P.","Sharma, Yash P.",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Kedis Enterprises 4, Llc","Kedis Enterprises 4, Llc / Kedis Enterprises 5, Llc / Kedis Enterprises 6, Llc / Kedis Enterprises, Llc",14,KFC,1,No,NY,NY,1,516/775-3347,910 Broadway,,,,,1,KEDIS ENTERPRISES 4 LLC,4257515,Active,DOMESTIC LIMITED LIABILITY COMPANY,06/12/2012,New York,ROBERT RUGGIERI,Individual,True,"1414 HILLSIDE AVENUE, NEW HYDE PARK, NY, 11040","1414 HILLSIDE AVENUE, NEW HYDE PARK, NY, 11040",,,,True,ROBERT RUGGIERI,owner_operator,True,"Kedis Enterprises 4, Llc","Kedis Enterprises 4, Llc",1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Nassau,,,ROBERT RUGGIERI,
Bryan O Colley,,14,McDonald's,1,No,NY,NY,1,914-244-8596,605 BEDFORD RD,,,,,0,,,,,,,,,,,,,,,,,,,Bryan O Colley,Bryan O Colley,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
217 Hillside Chicken Corp.,125 Chicken Corp / 1370 Jerome Burger Corp / 1370 Jerome Chicken Corp. / 163 Chicken Corp. / 1636 Chicken Corp. / 166 Chicken Corp. / 175 Chicken Corp / 197 Chicken Corp. / 217 Hillside Chicken Corp. / 313 Burger Corp. / 313 Chicken Corp / 601 Chicken Corp. / Grb Chicken Corp.,13,Burger King | Popeyes,2,Yes,NY,NY,1,(917) 473-6449,1380 Jerome Ave,,,,,1,217 HILLSIDE CHICKEN CORP.,3032127,Active,DOMESTIC BUSINESS CORPORATION,03/26/2004,New York,217 HILLSIDE CHICKEN CORP.,,False,"217-10 HILLSIDE AVE, QUEENS VILLAGE, NY, 11427","2730 FREDERICK DOUGLASS BLVD, NEW YORK, NY, 10039","217-10 HILLSIDE AVE, QUEENS VILLAGE, NY, 11427",,,False,LALMIR SULTANZADA,owner_operator,True,217 Hillside Chicken Corp.,217 Hillside Chicken Corp.,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Queens,LALMIR SULTANZADA,"LALMIR SULTANZADA, FLUSHING, NY, 10039",217 HILLSIDE CHICKEN CORP.,"2730 FREDERICK DOUGLASS BLVD, NEW YORK, NY, 10039"
Pak Mt. Vernon Management Inc.,"Pak Astoria Management Inc. / Pak Boston Management Inc. / Pak Elmsford Management Inc. / Pak Fordham Management Inc. / Pak Gunhill Management Inc. / Pak Harlem Management Inc. / Pak Main Management, Inc. / Pak Mt. Vernon Management Inc. / Pak Norwich Management, Inc. / Pak Nyc Management Inc / Pak Owego Management, Inc. / Pak Robinson Management, Inc. / Pak Vestal Management, Inc.",13,KFC,1,No,NY,NY,1,718/721-2500,3042 Steinway Street,,,,,1,PAK MT. VERNON MANAGEMENT INC.,4048469,Active,DOMESTIC BUSINESS CORPORATION,01/28/2011,New York,PAK MT. VERNON MANAGEMENT INC.,,False,"30-42 STEINWAY STREET, ASTORIA, NY, 11103","3042 STEINWAY STREET, ASTORIA, NY, 11103","30-42 STEINWAY STREET, ASTORIA, NY, 11103",,,False,AMNA KIRMANI,owner_operator,True,Pak Mt. Vernon Management Inc.,Pak Mt. Vernon Management Inc.,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Westchester,AMNA KIRMANI,"AMNA KIRMANI, ASTORIA, NY, 11103",PAK MT. VERNON MANAGEMENT INC.,"3042 STEINWAY STREET, ASTORIA, NY, 11103"
Timothy G Potter,,13,McDonald's,1,No,NY,NY,1,585-396-1350,17 ELLEN POLIMENI BLVD,,,,,0,,,,,,,,,,,,,,,,,,,Timothy G Potter,Timothy G Potter,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
The Daland Corporation,,13,Pizza Hut,1,No,NY,NY | PA,2,315/386-4170,"5933 US Highway 11, University Shopping Ctr.",,,,,0,,,,,,,,,,,,,,,,,,,The Daland Corporation,The Daland Corporation,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
"Amazing Burgers, Llc (Gregory Slayton And Paul Slayton)","Amazing Burgers, Llc (Greg Slayton And Paul Slayton) / Amazing Burgers, Llc (Gregory Slayton And Paul Slayton) / Amazing Burgers, Llc (Gregory Slayton, Paul Slayton)",12,Five Guys,1,No,NY,NY,1,929-324-6301,581 Hutchinson River Pkwy.,,,,,0,,,,,,,,,,,,,,,,,,,"Amazing Burgers, Llc (Gregory Slayton And Paul Slayton)","Amazing Burgers, Llc (Gregory Slayton And Paul Slayton)",,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Rosario Iraci,,12,McDonald's,1,No,NY,NJ | NY | PA,3,347-305-0656,891 CUMMUNIPAW AVE,,,,,0,,,,,,,,,,,,,,,,,,,Rosario Iraci,Rosario Iraci,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Dave Opstad,,12,McDonald's,1,No,NY,NY,1,518-622-8720,7621 NY-32,,,,,0,,,,,,,,,,,,,,,,,,,Dave Opstad,Dave Opstad,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
New York Food & Drink 4416 Fort Hamilton Inc.,"New York Food & Drink 4416 Fort Hamilton Inc. / New York Food & Drink 7123 Fort Hamilton Inc / New York Food & Drink 7Th Ave Inc. / New York Food & Drink Avenue U, Inc. / New York Food & Drink Bay Parkway Inc. / New York Food & Drink Bensonhurst, Inc. / New York Food & Drink Gravesend Inc. / New York Food & Drink Long Island City, Inc / New York Food & Drink Main Street Inc. / New York Food & Drink Queens Boulevard, Inc. / New York Food & Drink Sunset Park, Inc. / New York Food & Drink Whitestone Inc.",12,Popeyes,1,No,NY,NY,1,(347) 627-2738,4416 Fort Hamilton Pkwy,,,,,1,NEW YORK FOOD & DRINK 4416 FORT HAMILTON INC.,5721595,Active,DOMESTIC BUSINESS CORPORATION,03/04/2020,New York,WUN MON ENG,Individual,True,"301 E. 47TH STREET APT 18C, NEW YORK, NY, 10017","301 E. 47TH STREET APT 18C, NEW YORK, NY, 10017",,,,True,WUN MON ENG,owner_operator,False,New York Food & Drink 4416 Fort Hamilton Inc.,New York Food & Drink 4416 Fort Hamilton Inc. | new york food | new york,1.000,200.00,"[{""name"": ""NEW YORK FOOD COMPANY, LLC"", ""num"": ""2077513"", ""score"": 137.5}, {""name"": ""LTD NEW YORK, LLC"", ""num"": ""3080435"", ""score"": 125.0}]",2026-05-06T18:37:24.445397+00:00,,New York,,,WUN MON ENG,
Munson Of 1258 Lexington Ave Wings Go Llc,"Munson Of 1258 Lexington Ave Wings Go Llc / Munson Of 125Th Street Wings Go Llc / Munson Of 31St Street Wings Go, Llc / Munson Of Bellmore Wings Go Llc / Munson Of Garden City Wings Llc / Munson Of Hicksville Wings Llc / Munson Of Nanuet Wings Llc / Munson Of New Rochelle Wings Llc / Munson Of Staten Island Wings Llc / Munson Of Valley Stream Wings Llc / Munson Of White Plains Wings Llc",11,Buffalo Wild Wings,1,No,NY,NY,1,516-794-9453,630 Stewart Avenue,,,,,1,MUNSON OF 1258 LEXINGTON AVE WINGS GO LLC,7196277,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/04/2023,New York,METRO CORPORATE SERVICES LLC,,False,"1 BLUE HILL PLAZA #1509-43, PEARL RIVER, NEW YORK, 10965","409 Joyce Kilmer Ave Suite 310, New Brunswick, NJ, 08901",,,,False,,service_agent,False,Munson Of 1258 Lexington Ave Wings Go Llc,Munson Of 1258 Lexington Ave Wings Go Llc,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Rockland,,,Munson Buffalo GO Group LLC,
Apple West Co. Inc.,,11,Burger King,1,No,NY,NY,1,(516) 731-3294,4201 Hempstead Turnpike,,,,,1,APPLE WEST CO. INC.,4280899,Active,DOMESTIC BUSINESS CORPORATION,08/08/2012,New York,APPLE WEST CO. INC.,,False,"200 GARDEN CITY PLAZA, SUITE 105, GARDEN CITY, NY, 11530","200 GARDEN CITY PLAZA, SUITE 105, GARDEN CITY, NY, 11530",,,,True,JAY DELLAMONICA,owner_operator,True,Apple West Co. Inc.,Apple West Co. Inc.,1.000,200.00,,2026-05-06T18:37:24.445397+00:00,,Nassau,JAY DELLAMONICA,"JAY DELLAMONICA, SUITE 105, GARDEN CITY, NY, 11530",APPLE WEST CO. INC.,"200 GARDEN CITY PLAZA, SUITE 105, GARDEN CITY, NY, 11530"
Jonah Kaufman,,11,McDonald's,1,No,NY,NY,1,631-789-4033,900 BROADWAY RT 110,,,,,0,,,,,,,,,,,,,,,,,,,Jonah Kaufman,Jonah Kaufman,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
Gerald Laurino,,11,McDonald's,1,No,NY,NY,1,718-827-4227,2797 LINDEN BLVD,,,,,0,,,,,,,,,,,,,,,,,,,Gerald Laurino,Gerald Laurino,,,,2026-05-06T18:37:24.445397+00:00,,,,,,
