franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address,entity_type,classification_method,search_target
"Graves, Susan L.",,"Graves,",149,Domino's,1,No,MN,IA | KY | MN | ND | NE | OH | PA | SD | WI | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Graves, Susan L. Domino's franchisee MN",,,,,(712) 325-8848,2004 West Broadway,person,ai,Susan L. Graves
"Sunshine Restaurant Merger Sub, Llc",,Sunshine,147,IHOP,1,No,FL,FL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sunshine Restaurant Merger Sub, Llc IHOP franchisee FL",,,,,321-312-0022,2447 N. Wickham Road #144,company,regex,"Sunshine Restaurant Merger Sub, Llc"
"Ratterman, Mark B.",,"Ratterman,",146,Domino's,1,No,IL,IL | KY | MO,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Ratterman, Mark B. Domino's franchisee IL",,,,,(815) 317-3232,801 South Ridge Road,person,ai,Mark B. Ratterman
"Fritz Management, Llc",,Fritz,137,Burger King,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Fritz Management, Llc Burger King franchisee TX",,,,,(956) 781-7448,446 East Frontage Rd,company,regex,"Fritz Management, Llc"
"Sailormen, Inc.",,"Sailormen,",137,Popeyes,1,No,FL,FL | GA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sailormen, Inc. Popeyes franchisee FL",,,,,(1386) 418-8002,15655 NW US Hwy 441 Alachua,company,regex,"Sailormen, Inc."
"Tri City Foods Of Illinois, Llc",,Tri,134,Burger King,1,No,IL,IL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tri City Foods Of Illinois, Llc Burger King franchisee IL",,,,,(630) 543-5005,440 West Lake St,company,regex,"Tri City Foods Of Illinois, Llc"
"One Stop Entertainment Hospitality, Llc","Akron Go, Llc / Albertville Opco, Llc / Alliance Wing Company, Llc / Aurora Wing Company, Llc / Austintown Wing Company, Llc / B.B. Wings, Llc / Bayou Wings, L.L.C. / Bayou Wings, Llc / Bentonville Wing Company, Llc / Bison Rapids Investments, Llc / Blacksburg Wing Company, Llc / Blazin Concepts - Covington, Llc / Boardman Wing Company, Llc / Boone Creek Investments, Llc / Brb Wings, Llc / Brooklyn Bww, Llc / Bryant Wings, Llc / Canton Wing Company, Llc / Chawkat, Llc / Chester Wings, Llc / Cleveland Heights Wing Company, Llc / Cleveland Wing Company, Llc / Colonial Wings, Llc / Conway Wild Wings, Llc / Cullman Opco, Llc / Cuyahoga Falls Wing Company, Llc / Danville Wings, Llc / Decatur Opco, Llc / Elyria Wing Company, Llc / Fairview Park Bww, Llc / Falcon Nest, Llc / Farmville Wings, Llc / Fayetteville Wing Company, Llc / Findlay Wing Company, Llc / Finnava, Llc / Fletch, Llc / Florence Opco, Llc / Fort Smith Fiery Hot, Llc / Gadsden Opco, Llc / Grampy, Llc / Grandview Wing Company, Llc / Greenville Wing Company, Llc / Grove City Wing Company, Llc / Grube Go, Llc / Hilliard Wing Company, Llc / Huntsville Opco, Llc / Inferno, Llc / Jonesboro Wings, Llc / L.B. Wings Ii, Llc / L.B. Wings, Llc / Lancaster Wings West Ii, Llc / Lancaster Wings West, Llc / Llc / Lomi Enterprises, Llc / Lynchburg Wing Company, Llc / Massillon Wing Company, Llc / Medina Wing Company, Llc / Mentor Wing Company, Llc / Messner, Llc / Munson Buffalo Restaurant Group Llc / Munson Of Danbury Wings Llc / Munson Of Stamford Wings Llc / Niles Wing Company, Llc / Nnp Bgo Community Plaza Llc / Nnp Bgo Herndon Llc / Nola Wings Algiers, Llc / Nola Wings Elmwood, Llc / Nola Wings Veterans, Llc / North Olmsted Bww, Llc / Ohio Valley Investors, Llc / One Horse, Llc / One Stop Entertainment Hospitality, Llc / Ontario Wing Company, Llc / Perry'S North, Llc / Potter'S Wings D'Iberville, Llc / Potter'S Wings Flowood, Llc / Potter'S Wings Gulfport, Llc / Potter'S Wings Hattiesburg, Llc / Potter'S Wings, Llc / Potters Wings Daphne, Llc / Potters Wings Foley, Llc / R Wings R Wild, Llc / R.C. Alexandria Group, Llc / R.C. Bww Gonzales Group, Llc / R.C. Monroe Group, Llc / S & J Enterprises, Llc / Sandusky Wing Company, Llc / Sidney Wing Company, Llc / Southern Wings Eleven, Llc / Southern Wings Five, Llc / Southern Wings Four, Llc / Southern Wings Fourteen, Llc / Southern Wings Go Two, Llc / Southern Wings Holdings Two, Llc / Southern Wings Ten, Llc / Southern Wings Twelve, Llc / Southern Wings Two, Llc / Southern Wings, Llc / Springdale Wing Company, Llc / Springfield Wing Company, Llc / Strongsville Wing Company, Llc / Sully, Llc / Synergy Foodwerks Llc / Tanglewood Chicken Llc / Tanglewood Wing Company, Llc / Troy Wing Company, Llc / Valley View Wing Company, Llc / Warrensville Heights Wing Company, Llc / Willoughby Wing Company, Llc / Willow Prairie, Llc / Wilmington Wing Company, Llc / Wings Five La, Llc / Wings Four La, Llc / Wings One La, Llc / Wings Six La, Llc / Wings Three La, Llc / Wings Two La, Llc / Wings West One, Llc / Wooster Wing Company, Llc / Xenia Wing Company, Llc",One,133,Buffalo Wild Wings | Popeyes,2,Yes,OH,AL | AR | AZ | CA | CT | LA | MS | OH | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","One Stop Entertainment Hospitality, Llc Buffalo Wild Wings franchisee OH",,,,,205-664-0040,840 Colonial Prommendade Parkway,company,regex,"One Stop Entertainment Hospitality, Llc"
Ta Operating Llc,,Ta,132,Burger King | IHOP | KFC | Pizza Hut | Popeyes,5,Yes,CA,AL | AR | AZ | CA | CO | CT | FL | GA | IL | IN | KY | LA | MI | MO | NC | NE | NJ | NM | NV | NY | OH | OK | PA | SC | TN | TX | UT | VA | WA | WI | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Ta Operating Llc Burger King franchisee CA,,,,,(256) 287-1299,426 Al Hwy 69 S,company,regex,Ta Operating Llc
"Houston Foods, Inc.",,Houston,132,Burger King,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Houston Foods, Inc. Burger King franchisee TX",,,,,(281) 824-4314,1601 E Hwy 6,company,regex,"Houston Foods, Inc."
"Cinemark Usa, Inc.",,Cinemark,131,Pizza Hut,1,No,TX,AL | AR | AZ | CA | CO | CT | DE | FL | ID | IL | IN | KY | LA | MA | MD | MI | MS | NH | NJ | NM | NV | NY | OH | OK | PA | TX | UT | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cinemark Usa, Inc. Pizza Hut franchisee TX",,,,,972/665-1511,370 The Bridge Street,company,regex,"Cinemark Usa, Inc."
"Sfr X Holdings, Llc",,Sfr,124,Pizza Hut,1,No,OH,IN | MI | OH | PA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Sfr X Holdings, Llc Pizza Hut franchisee OH",,,,,765/962-0586,3250 E Main Street,company,regex,"Sfr X Holdings, Llc"
Rmh Franchise Corporation,,Rmh,120,Applebee's,1,No,OH,AL | AZ | FL | IN | KS | KY | MO | MS | NE | OH | OK | PA | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Rmh Franchise Corporation Applebee's franchisee OH,,,,,(251) 943-6006,2409 S. McKenzie Street,company,regex,Rmh Franchise Corporation
"Hosseini, Dariush",,"Hosseini,",116,Domino's,1,No,CA,AZ | CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hosseini, Dariush Domino's franchisee CA",,,,,(480) 835-6400,318 E Brown Rd,person,ai,Dariush Hosseini
"Murph, Alan D.",,"Murph,",114,Domino's,1,No,TX,KY | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Murph, Alan D. Domino's franchisee TX",,,,,(270) 697-1122,4190 Morgan Rd.,person,ai,Alan D. Murph
"Js Fort Group, Inc.",,Js,113,Jimmy John's,1,No,IL,IL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Js Fort Group, Inc. Jimmy John's franchisee IL",,,,,630-773-1900,1450 W Lake St,company,regex,"Js Fort Group, Inc."
"Chaac Pizza Northeast, Llc",,Chaac,113,Pizza Hut,1,No,MD,DC | MD | NJ | NY | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Chaac Pizza Northeast, Llc Pizza Hut franchisee MD",,,,,202/396-3300,1501 A&B Maryland Ave NE,company,regex,"Chaac Pizza Northeast, Llc"
"Gmrg Acq 1, Llc",,Gmrg,112,Pizza Hut,1,No,CO,CO | KS | MO | NE | OK | TX | UT | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gmrg Acq 1, Llc Pizza Hut franchisee CO",,,,,719/589-3693,814 Main St,company,regex,"Gmrg Acq 1, Llc"
"Mueller, Glenn A.",,"Mueller,",110,Domino's,1,No,LA,AL | LA | MS,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Mueller, Glenn A. Domino's franchisee LA",,,,,(251) 675-3030,924 Saraland Blvd S,person,ai,Glenn A. Mueller
"Mitra Qsr Kne, Llc",,Mitra,109,KFC,1,No,MD,DE | MD | NJ | OH | OK | PA | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Mitra Qsr Kne, Llc KFC franchisee MD",,,,,214/440-4144,220 Fox Hunt Dr.,company,regex,"Mitra Qsr Kne, Llc"
"Quikserve Enterprises, Inc.*","Quikserve Cajun, Inc / Quikserve Enterprises, Inc. / Quikserve Enterprises, Inc.*",Quikserve,107,Burger King | Popeyes,2,Yes,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Quikserve Enterprises, Inc.* Burger King franchisee CA",,,,,(209) 357-8248,2721 Winton Way,company,regex,"Quikserve Enterprises, Inc.*"
"Boj Of Wnc, Llc",,Boj,105,Bojangles,1,No,SC,GA | KY | NC | OH | SC | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Boj Of Wnc, Llc Bojangles franchisee SC",,,,,706-364-4754,3360 Wrightsboro Road,company,regex,"Boj Of Wnc, Llc"
"Gps Hospitality Ventures, Llc","Gps Hospitality Ventures, Llc / Gps Hospitality, Llc",Gps,105,Burger King | Popeyes,2,Yes,GA,GA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gps Hospitality Ventures, Llc Burger King franchisee GA",,,,,(770) 246-2247,3630 Cobb Parkway Nw,company,regex,"Gps Hospitality Ventures, Llc"
"Cunningham, Alan",,"Cunningham,",102,Domino's,1,No,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cunningham, Alan Domino's franchisee TX",,,,,(512) 929-3300,720 S. Bastrop Hwy. Suite 101,person,ai,Alan Cunningham
Ampler Burgers Ohio Llc,,Ampler,101,Burger King,1,No,OH,AR | KY | OH | TN | VA | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Ampler Burgers Ohio Llc Burger King franchisee OH,,,,,(501) 327-7794,102 Oak St,company,regex,Ampler Burgers Ohio Llc
"Hishmeh, Tareq M.",,"Hishmeh,",96,Domino's,1,No,CA,AZ | CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hishmeh, Tareq M. Domino's franchisee CA",,,,,(602) 996-3030,13843 N Tatum Blvd Ste 7,person,ai,Tareq M. Hishmeh
Michael L Retzer,,Michael,96,McDonald's,1,No,AR,AR | LA | MS | OK | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Michael L Retzer McDonald's franchisee AR,,,,,870-898-2357,1260 CONSTITUTION AVE,person,regex,Michael L Retzer
"Rackson Restaurants, Llc",,Rackson,94,Burger King,1,No,CT,CT | DE | MD | NJ | NY | OH | PA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Rackson Restaurants, Llc Burger King franchisee CT",,,,,(203) 734-1870,20 Pershing Dr,company,regex,"Rackson Restaurants, Llc"
"Patterson, G. Mack",,"Patterson,",93,Domino's,1,No,NC,NC | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Patterson, G. Mack Domino's franchisee NC",,,,,(919) 603-0300,306 Granville Corners,person,ai,G. Mack Patterson
"Hamill, R. Brent","Hamill, Brent / Hamill, R. Brent","Hamill,",90,Domino's,1,No,TX,CA | CO | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hamill, R. Brent Domino's franchisee TX",,,,,(213) 385-3888,4257 W. 3rd St.,person,ai,R. Brent Hamill
"Farmer, Patrick D.","Farmer, Patrick / Farmer, Patrick D.","Farmer,",90,Domino's,1,No,WA,ID | OR | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Farmer, Patrick D. Domino's franchisee WA",,,,,(208) 452-6755,1700 N. Whitley Dr.,person,ai,Patrick D. Farmer
"Pizza Hut Of Southeast Kansas, Inc.",,Pizza,90,Pizza Hut,1,No,KS,KS | KY | MO | OK | OR | TN | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Pizza Hut Of Southeast Kansas, Inc. Pizza Hut franchisee KS",,,,,316/733-0055,307 N Andover Rd,company,regex,"Pizza Hut Of Southeast Kansas, Inc."
Hut Georgia Llc,,Hut,89,Pizza Hut,1,No,GA,GA | SC,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Georgia Llc Pizza Hut franchisee GA,,,,,229/435-5991,711 N Westover Blvd Suite B,company,regex,Hut Georgia Llc
"Cfl Pizza, Llc",,Cfl,88,Pizza Hut,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Cfl Pizza, Llc Pizza Hut franchisee FL",,,,,407/831-2200,600 E Altamonte Dr,company,regex,"Cfl Pizza, Llc"
"Tasty Chick'N Midwest, Llc","Qsr Midwest, Llc / Tasty Chick'N Midwest, Llc",Tasty,87,KFC,1,No,TN,AR | IL | IN | KY | MO | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Tasty Chick'N Midwest, Llc KFC franchisee TN",,,,,310/943-4997,3021 DR MARTIN LUTHER KING JR DR,company,regex,"Tasty Chick'N Midwest, Llc"
"Hot Pizzas, L.L.C.(1)","Hot Pizzas, L.L.C. / Hot Pizzas, L.L.C.(1)",1,87,Pizza Hut,1,No,AZ,AZ,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",1 Pizza Hut franchisee AZ,,,,,480/982-1155,240 S Phelps Drive,company,regex,"Hot Pizzas, L.L.C."
"Patibandla Rao, Malli",,Patibandla,86,Domino's,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Patibandla Rao, Malli Domino's franchisee CA",,,,,(424) 426-3100,8307 S. La Cienega Blvd. Suite B,person,ai,Malli Patibandla Rao
"Srg Plk Opco, Llc.",,Srg,86,Popeyes,1,No,LA,LA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Srg Plk Opco, Llc. Popeyes franchisee LA",,,,,(337) 893-4284,501 Veterans Memorial Dr,company,regex,"Srg Plk Opco, Llc."
"Ampex Brands Ph Of Dallas, Inc.","Ampex Brands Of Cleburne, Inc. / Ampex Brands Ph Of Dallas, Inc. / Ampex Brands, Llc",Ampex,85,KFC | Pizza Hut,2,Yes,TX,TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Ampex Brands Ph Of Dallas, Inc. KFC franchisee TX",,,,,469/917-3800,700 W. Abram Street,company,regex,"Ampex Brands Ph Of Dallas, Inc."
"California Food Management, Llc",,California,83,Burger King,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","California Food Management, Llc Burger King franchisee CA",,,,,(818) 889-2739,29136 Rdside Dr,company,regex,"California Food Management, Llc"
"Jrn, Inc.",,"Jrn,",83,KFC | Pizza Hut,2,Yes,TN,AL | FL | GA | KY | NC | SC | TN | VA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Jrn, Inc. KFC franchisee TN",,,,,931/490-4765,2460 South McKenzie Street,company,regex,"Jrn, Inc."
"Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert)","Four Cousins Burgers & Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nh, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Nj, Llc (Bill Gellert) / Four Cousins Burgers & Fries Of Ny, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Li, Llc (Bill Gellert) / Four Cousins Burgers And Fries Of Ny, Llc (Bill Gellert) / Ghg Ar, Llc (Bill Gellert) / Ghg Gulf Coast, Llc (Bill Gellert) / Ghg Indiana, Llc (Bill Gellert) / Ghg Southwest, Llc (Bill Gellert) / Ghg Tennga, Llc (Bill Gellert)",Bill,79,Five Guys,1,No,NY,AL | AR | FL | GA | IN | LA | MS | NH | NJ | NY | TN,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Bill Gellert Five Guys franchisee NY,,,,,(914) 643-2180,6860 Highway 90 (out parcel),company_with_owner,regex,Bill Gellert
Eduardo Diaz,,Eduardo,78,Pizza Hut,1,No,IL,GA | IL | SC | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Eduardo Diaz Pizza Hut franchisee IL,,,,,214/819-3800,702A West 4th Street,person,regex,Eduardo Diaz
Adiser Orlando Llc,,Adiser,77,Burger King,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Adiser Orlando Llc Burger King franchisee FL,,,,,(407) 788-2113,1190 Spring Centre S Blvd,company,regex,Adiser Orlando Llc
