franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address
"Hodges Enterprises #12, Llc","Hodges Enterprises #1, Llc / Hodges Enterprises #11, Llc / Hodges Enterprises #12, Llc / Hodges Enterprises #14, Llc / Hodges Enterprises #15, Llc / Hodges Enterprises #16, Llc / Hodges Enterprises #17 Llc / Hodges Enterprises #2, Llc / Hodges Enterprises #3, Llc / Hodges Enterprises #4, Llc / Hodges Enterprises #5, Llc / Hodges Enterprises #7, Llc / Hodges Enterprises #8, Llc / Hodges Enterprises #9, Llc / Hodges Enterprises, Llc",Hodges,15,Jimmy John's,1,No,NE,NE,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Hodges Enterprises #12, Llc Jimmy John's franchisee NE",,,,,402-415-0974,15601 Whiting Circle
"Jj Austin, Llc",,Jj,15,Jimmy John's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jj Austin, Llc Jimmy John's franchisee TX",,,,,512-442-2200,610 E Stassney Ln
Sandwich Sc Llc,,Sandwich,15,Jimmy John's,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Sandwich Sc Llc Jimmy John's franchisee WA,,,,,425-213-1100,601 108th Ave NE
"Jack Marshall Foods, Inc.",,Jack,15,KFC,1,No,AL,AL | MS | TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jack Marshall Foods, Inc. KFC franchisee AL",,,,,205/553-8621,7285 U.S. Highway 431
"Satwinder, Singh",,"Satwinder,",15,KFC,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Satwinder, Singh KFC franchisee CA",,,,,714/968-4200,4135 Chino Hills Parkway
Kazi Foods Corp. Of Hawa,,Kazi,15,KFC,1,No,HI,HI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kazi Foods Corp. Of Hawa KFC franchisee HI,,,,,818/540-5497,98-150 Kaonohi
Marisol C Sanchez,,Marisol,15,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Marisol C Sanchez McDonald's franchisee CA,,,,,760-247-0951,19200 BEAR VALLEY ROAD
Roger P Delph,,Roger,15,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Roger P Delph McDonald's franchisee CA,,,,,661-393-7402,35102 MERLE HAGGARD DRIVE
Richard M Bechguenturian,,Richard,15,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Richard M Bechguenturian McDonald's franchisee CA,,,,,818-842-5878,1127 N SAN FERNANDO BLVD
Stephen D Peat,,Stephen,15,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Stephen D Peat McDonald's franchisee CA,,,,,831-476-1512,1760 41ST AVE
Kathleen M Linneman,,Kathleen,15,McDonald's,1,No,CO,CO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kathleen M Linneman McDonald's franchisee CO,,,,,303-364-0706,3151 N AIRPORT BLVD
Juan Samour,,Juan,15,McDonald's,1,No,CO,CO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Juan Samour McDonald's franchisee CO,,,,,303-343-6169,14251 E COLFAX AVE
Todd R Luther,,Todd,15,McDonald's,1,No,CO,CO | NE | SD | WY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Todd R Luther McDonald's franchisee CO,,,,,970-221-4578,1273 GRAND MARKET AVE
Luis E Gavignano,Luis E Gavignano / Luis Gavignano,Luis,15,McDonald's,1,No,DC,DC | VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Luis E Gavignano McDonald's franchisee DC,,,,,202-529-5126,4950 S DAKOTA NE
Joseph L Cox,,Joseph,15,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Joseph L Cox McDonald's franchisee FL,,,,,386-677-8186,3001 N ATLANTIC AVE
Donnie K Griner,,Donnie,15,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Donnie K Griner McDonald's franchisee GA,,,,,912-632-2444,401 PIERCE ST
Dean E Dimichele,,Dean,15,McDonald's,1,No,IN,IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Dean E Dimichele McDonald's franchisee IN,,,,,260-824-0433,984 N MAIN ST
Sean Bauer,,Sean,15,McDonald's,1,No,IN,IN | KY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Sean Bauer McDonald's franchisee IN,,,,,812-283-0663,3000 E 10TH ST
Thomas R Burrell,,Thomas,15,McDonald's,1,No,KY,KY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Thomas R Burrell McDonald's franchisee KY,,,,,502-348-4495,103 PARKVIEW DR
Joseph S Napoli,Joseph Napoli / Joseph S Napoli,Joseph,15,McDonald's,1,No,RI,MA | RI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Joseph S Napoli McDonald's franchisee RI,,,,,508-222-0217,531 PLEASANT ST
Larry J Peters,,Larry,15,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Larry J Peters McDonald's franchisee MI,,,,,989-684-3626,918 N EUCLID AVE
Jon M Campbell,,Jon,15,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jon M Campbell McDonald's franchisee MI,,,,,248-363-4241,8300 RICHARDSON RD
F. Mark Pfau,,F.,15,McDonald's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,F. Mark Pfau McDonald's franchisee MI,,,,,810-629-3636,3216 OWEN ROAD
Predrag Dostanic,,Predrag,15,McDonald's,1,No,MN,MN | WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Predrag Dostanic McDonald's franchisee MN,,,,,763-689-9015,100 GARFIELD ST S
Courtney Henry,,Courtney,15,McDonald's,1,No,MN,MN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Courtney Henry McDonald's franchisee MN,,,,,763-780-3937,1 CENTRAL ST
Michael W Freeman,,Michael,15,McDonald's,1,No,NC,NC | VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael W Freeman McDonald's franchisee NC,,,,,336-855-4999,5727 W GATE CITY BLVD
Kenric Garcia,,Kenric,15,McDonald's,1,No,NM,NM,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kenric Garcia McDonald's franchisee NM,,,,,505-344-6314,5324 4TH ST NW
Bobby J Roetzel,,Bobby,15,McDonald's,1,No,UT,NV | UT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Bobby J Roetzel McDonald's franchisee UT,,,,,775-752-3499,157 HIGHWAY 93 SOUTH
Jared Ray,,Jared,15,McDonald's,1,No,OR,OR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jared Ray McDonald's franchisee OR,,,,,503-232-7005,709 S WEST 1ST ST
Shane D Campbell,,Shane,15,McDonald's,1,No,OR,OR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Shane D Campbell McDonald's franchisee OR,,,,,541-942-0024,1520 GATEWAY BLVD
Joseph D Nyanko,,Joseph,15,McDonald's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Joseph D Nyanko McDonald's franchisee PA,,,,,814-943-6677,407 E PLANK RD
Shiri N Levine,,Shiri,15,McDonald's,1,No,PA,PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Shiri N Levine McDonald's franchisee PA,,,,,717-249-7721,608 E HIGH
Osman Dana,,Osman,15,McDonald's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Osman Dana McDonald's franchisee TX,,,,,806-352-5061,2000 S WESTERN AVENUE
Samuel W Munroe,,Samuel,15,McDonald's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Samuel W Munroe McDonald's franchisee TX,,,,,713-527-8907,4920 N KIRBY DR
Mark Parrish,,Mark,15,McDonald's,1,No,UT,UT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Mark Parrish McDonald's franchisee UT,,,,,435-438-5500,365 W 1400 N
Robert C Sparrer,,Robert,15,McDonald's,1,No,UT,UT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Robert C Sparrer McDonald's franchisee UT,,,,,801-789-2550,4137 EAST PONY EXPRESS PKWY
Michael K Grimm,,Michael,15,McDonald's,1,No,VA,VA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael K Grimm McDonald's franchisee VA,,,,,540-552-2667,110 TURNER ST
Mark J Ray,,Mark,15,McDonald's,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Mark J Ray McDonald's franchisee WA,,,,,509-244-2092,12002 W SUNSET HWY
David W Rause,,David,15,McDonald's,1,No,WI,WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,David W Rause McDonald's franchisee WI,,,,,920-734-4500,700 W NORTHLAND AVE
"Southeastern Pizza Group Three, Llc","Southeastern Pizza Group Three, Llc / Southeastern Pizza Group, Llc",Southeastern,15,Pizza Hut,1,No,GA,AL | FL | GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Southeastern Pizza Group Three, Llc Pizza Hut franchisee GA",,,,,334/298-3115,3618 US Highway 431
"High Plains Pizza Hut, Inc.(1)","High Plains Pizza Hut, Inc. / High Plains Pizza Hut, Inc.(1)",1,15,Pizza Hut,1,No,NE,NE,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,1 Pizza Hut franchisee NE,,,,,308/762-2920,1239 W 3rd St
"Ph Milwaukee Cfs, Llc",,Ph,15,Pizza Hut,1,No,WI,WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Ph Milwaukee Cfs, Llc Pizza Hut franchisee WI",,,,,262/763-8432,1080 Milwaukee Ave.
Gene Camarena,,Gene,15,Pizza Hut,1,No,TX,NM | TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Gene Camarena Pizza Hut franchisee TX,,,,,317/248-0434,615 S. White Sands Blvd.
"Gas Express, Llc","Gas Express Llc / Gas Express, Llc",Gas,15,Pizza Hut,1,No,GA,AL | AR | GA | LA | NC | SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Gas Express, Llc Pizza Hut franchisee GA",,,,,678/254-4035,6658 Alabama 46
"Tice Chicken Al, Llc.",,Tice,15,Popeyes,1,No,AL,AL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Tice Chicken Al, Llc. Popeyes franchisee AL",,,,,(205) 781-1785,2239 Bessemer Rd
"Hlc Foods Of Cartersville, Llc","Hlc Foods Of Carrollton, Llc / Hlc Foods Of Cartersville, Llc / Hlc Foods, Llc",Hlc,15,Zaxby's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Hlc Foods Of Cartersville, Llc Zaxby's franchisee GA",,,,,(770) 877-9557,7869 Adairsville Hwy.
"Apple Houston Restaurants, Inc",,Apple,14,Applebee's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Apple Houston Restaurants, Inc Applebee's franchisee TX",,,,,(512) 912-0202,6315 S Interstate Highway 35
"Lvp Restaurant Group, Llc","Lv Restaurant Group Llc / Lvp Restaurant Group, Llc",Lvp,14,Bojangles | Popeyes,2,Yes,NV,AZ | CO | NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Lvp Restaurant Group, Llc Bojangles franchisee NV",,,,,(702) 522-8513,I-17 & Arcosanti Road
"Travis County Investments, Lp",,Travis,14,Burger King,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Travis County Investments, Lp Burger King franchisee TX",,,,,(512) 419-0403,7105 N Interstate 35 Apt 35
"Bosselman Pump & Pantry, Inc.",,Bosselman,14,Cinnabon,1,No,NEBRASKA,NEBRASKA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Bosselman Pump & Pantry, Inc. Cinnabon franchisee NEBRASKA",,,,,(308) 928-2590,710 N Hwy 183
"Mayfield, Robert U",,"Mayfield,",14,Dairy Queen,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Mayfield, Robert U Dairy Queen franchisee TX",,,,,5126562783,13301 N Highway 183 Bldg F
Forster & Giles Investments,,Forster,14,Dairy Queen,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Forster & Giles Investments Dairy Queen franchisee TX,,,,,9035614018,16941 State Highway 155 S
"May, Roy Jeffrey",,"May,",14,Domino's,1,No,AL,AL | FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"May, Roy Jeffrey Domino's franchisee AL",,,,,(251) 981-8880,"25814 Canal Road, Suite #6"
"Haydon, James B.",,"Haydon,",14,Domino's,1,No,CO,CO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Haydon, James B. Domino's franchisee CO",,,,,(303) 278-7241,"2600 East Street, Ste. D"
