entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title
"H & V Pretzels, Llc",,2,Cinnabon,1,No,COLORADO,COLORADO,1,(303) 573-3940,500 16th Street,,,,
"Nileshkumar Darji, Parulben Darji","Nileshkumar Darji, Parulben Darji / Parulben Darji, Nileshkumar Darji",2,Cinnabon,1,No,COLORADO,COLORADO,1,(720) 382-9287,8501 West Bowles Avenue,,,,
H&V Juice Llc,,2,Dairy Queen,1,No,CO,CO,1,3033605647,14200 E Alameda Ave Ste 2060a,,,,
Pbjd Enterprises Inc,,2,Dairy Queen,1,No,CO,CO,1,3034692431,7634 US Hwy 287,,,,
Eagle Too Corp,,2,Dairy Queen,1,No,CO,CO,1,3037566598,2450 S Colorado Blvd,,,,
Treatalicious Inc,,2,Dairy Queen,1,No,CO,CO,1,7208908759,3335 Arapahoe Rd Ste 10,,,,
Eagle Country Ventures Llc,,2,Dairy Queen,1,No,COLORADO,CO | COLORADO,2,9708711800,5005 S Kipling Pkwy,,,,
Gdq Inc,,2,Dairy Queen,1,No,CO,CO,1,9703510881,3190 W 10th St,,,,
"Whiting, Troy A.",,2,Domino's,1,No,CO,CO,1,(970) 245-4545,904 North Ave.,,,,
"3196 Co, Llc","3196 Co, Llc / Co 1112 Llc",2,IHOP | Jimmy John's,2,Yes,CO,CO,1,(719) 597-0123,5749 Stetson Hill Blvd.,,,,
Cos Hoover Llc,,2,Jamba,1,No,COLORADO,COLORADO,1,719-593-5889,1708 E. Woodmen Rd.,,,,
"The Gourmet Lady, Llc",,2,Jimmy John's,1,No,CO,CO,1,719-589-3418,1605 Main St.,,,,
"Cwb Enterprises, Llc",,2,Jimmy John's,1,No,CO,CO,1,303-353-2566,29057 Hotel Way,,,,
"Big Oil & Gas, Llc","Big Oil & Gas, Llc / Big Oil, Llc",2,Jimmy John's,1,No,CO,CO,1,970-339-3999,4629 Centerplace Dr,,,,
"Rothfam Holdings, Llc",,2,Jimmy John's,1,No,CO,CO,1,303-278-8177,14710 W Colfax Ave,,,,
"Pueblo Sandwich Lady, Llc",,2,Jimmy John's,1,No,CO,CO,1,719-924-9193,76 S. Dunlap Dr.,,,,
"Mission Yogurt, Inc.",,2,KFC | Pizza Hut,2,Yes,CO,CO,1,303/944-5844,8500 Pena Blvd.,,,,
"Pueblo Chicken, Llc",,2,KFC,1,No,CO,CO,1,918/970-4296,2705 Fremont Drive,,,,
"Flatirons Pizza, Llc",,2,Little Caesars,1,No,COLORADO,COLORADO,1,(970) 522-5222,532 W. MAIN STREET,,,,
Michael Stripling,,2,McDonald's,1,No,CO,CO,1,303-680-4197,18181 E HAMPDEN AVE,,,,
James Nelson,,2,McDonald's,1,No,CO,CO,1,970-874-5503,108 GUNNISON RIVER RD,,,,
Laura L Bucar,,2,McDonald's,1,No,CO,CO,1,303-986-0814,5550 W DARTMOUTH AVE,,,,
Jennifer Long-Walker,,2,McDonald's,1,No,CO,CO,1,970-249-3339,1035 MAIN ST,,,,
Oldershaw,,1,Burger King,1,No,CO,CO,1,(970) 949-1292,15 Hurd Lane,,,,
Hvt Group Llc,,1,Cinnabon,1,No,COLORADO,COLORADO,1,(720) 399-0613,One West Flat Iron Crossing Drive,,,,
"Yk & Lee, Inc.",,1,Cinnabon,1,No,COLORADO,COLORADO,1,(719) 528-5678,4560 Centennial Blvd.,,,,
Threepeat.Com,,1,Cinnabon,1,No,COLORADO,COLORADO,1,(720) 266-5200,9624 East Arapahoe Road,,,,
Colorado Dostana Llc,,1,Cinnabon,1,No,COLORADO,COLORADO,1,3035901503,14520 W Colfax Ave.,,,,
Tower Ice Cream Ltd,,1,Dairy Queen,1,No,CO,CO,1,3037669735,18121 E Hampden Ave Unit A,,,,
R & D Stores Inc,,1,Dairy Queen,1,No,CO,CO,1,3037550852,2197 S Chambers Rd,,,,
Rd & E Ice Cream Inc,,1,Dairy Queen,1,No,CO,CO,1,3034003811,24300 E Smoky Hill Rd,,,,
"Bighash, Touraj / Bighash, Gity Z",,1,Dairy Queen,1,No,CO,CO,1,3037511302,3140 S Parker Rd,,,,
Pbjd One Inc,,1,Dairy Queen,1,No,CO,CO,1,3034430656,685 30th St,,,,
South Tri Stores Llc,,1,Dairy Queen,1,No,CO,CO,1,3037945505,2330 E Arapahoe Rd Unit 907,,,,
"Strub, James A",,1,Dairy Queen,1,No,CO,CO,1,3032891650,5800 E 64th Ave,,,,
Q3 Delta Llc,,1,Dairy Queen,1,No,CO,CO,1,9708741770,240 A N Palmer St,,,,
Tri-Sweets Inc,,1,Dairy Queen,1,No,CO,CO,1,3033885144,7601 E Colfax Ave,,,,
Lototo Ltd,,1,Dairy Queen,1,No,CO,CO,1,3037787287,3531 S Logan St Unit H,,,,
Set Sail Ep Inc,,1,Dairy Queen,1,No,CO,CO,1,9705864939,218 E Elkhorn Ave,,,,
Win Hof Ltd,,1,Dairy Queen,1,No,CO,CO,1,3036831553,9435 S University Blvd,,,,
Taste And See Dq Llc,,1,Dairy Queen,1,No,CO,CO,1,3039888545,1010 S Union Blvd,,,,
Lix Ii Llc,,1,Dairy Queen,1,No,CO,CO,1,3039347206,1525 S Sheridan Blvd,,,,
D & W Stores Ltd,,1,Dairy Queen,1,No,CO,CO,1,3039790729,7576 S Pierce St,,,,
"Lindberg, Craig A",,1,Dairy Queen,1,No,CO,CO,1,9704613456,300 E Eisenhower Blvd,,,,
Bpw Ops Llc,,1,Dairy Queen,1,No,CO,CO,1,4803885721,1001 S Townsend Ave,,,,
Lix Thornton Llc,,1,Dairy Queen,1,No,CO,CO,1,3032529375,3894 E 120th Ave Unit A,,,,
The Patrick Family Group Ltd,,1,Dairy Queen,1,No,CO,CO,1,3034283744,721 W 84th Ave,,,,
Huron Store Ltd,,1,Dairy Queen,1,No,CO,CO,1,3032559812,774 W 120th Ave,,,,
P & G Creamery Llc,,1,Dairy Queen,1,No,CO,CO,1,3034218576,9720 W 44th Ave,,,,
Gassmann Enterprises Inc,,1,Dairy Queen,1,No,CO,CO,1,9706869272,1299 Main St,,,,
Plaza Stores Ltd,,1,Dairy Queen,1,No,COLORADO,COLORADO,1,3039792147,,,,,
Patrick Company Inc,,1,Dairy Queen,1,No,CO,CO,1,3034244101,11631 W 64th Ave,,,,
D & A Inc,,1,Dairy Queen,1,No,CO,CO,1,3034241202,7580 W 64th Ave,,,,
Colorado Aurora Inc,,1,Dairy Queen,1,No,CO,CO,1,3035768001,3701 Tower Rd,,,,
Ccdq Inc,,1,Dairy Queen,1,No,CO,CO,1,7192693511,1329 Royal Gorge Blvd,,,,
"Ltt Store, Inc",,1,Dairy Queen,1,No,CO,CO,1,3036884392,132 S Wilcox St,,,,
Lix Filmore Llc,,1,Dairy Queen,1,No,CO,CO,1,7196326460,315 W Fillmore St,,,,
Cool Runnings Llc,,1,Dairy Queen,1,No,CO,CO,1,7195916092,6813 Space Village Ave,,,,
"Wilkerson, Larry K",,1,Dairy Queen,1,No,CO,CO,1,9705659266,1127 E Main St,,,,
Kds Enterprises Inc,,1,Dairy Queen,1,No,CO,CO,1,7205246822,783 Crossroad Circle,,,,
Colorado Fort Morgan Inc,,1,Dairy Queen,1,No,CO,CO,1,9708676438,1224 Main St,,,,
Horah Llc,,1,Dairy Queen,1,No,CO,CO,1,7193927755,7010 S Hwy 85-87,,,,
Colorado Kokopelli Blvd Inc,,1,Dairy Queen,1,No,CO,CO,1,9492333877,598 Kokopelli Blvd,,,,
Colorado Linden Group Inc,,1,Dairy Queen,1,No,CO,CO,1,9702416630,272 Linden Ave,,,,
Colorado North Ave Inc,,1,Dairy Queen,1,No,CO,CO,1,9702455782,709 N Ave,,,,
Shri Radha Nilkamal Llc,,1,Dairy Queen,1,No,CO,CO,1,7202874283,4650 S Yosemite St,,,,
Lix La Llc,,1,Dairy Queen,1,No,CO,CO,1,7194562345,325 6th St,,,,
Krafted Investments Llc,,1,Dairy Queen,1,No,CO,CO,1,3033490397,19320 E Plaza Dr,,,,
Lix Grant Llc,,1,Dairy Queen,1,No,CO,CO,1,3039201897,10140 Grant St,,,,
Rd & C Stores Inc,,1,Dairy Queen,1,No,CO,CO,1,9708488411,503 E 8th Ave,,,,
Summit Softserve Llc,,1,Dairy Queen,1,No,CO,CO,1,,,,,,
"Smith, Zachary Austin",,1,Domino's,1,No,CO,CO,1,(303) 617-3030,"22651 E. Aurora Parkway, #6",,,,
"Rea, Mike",,1,Domino's,1,No,CO,CO,1,(303) 263-9750,18707 E. Hampden Ave.,,,,
"1422, Inc.",,1,IHOP,1,No,CO,CO,1,(970) 203-9300,5450 Stone Creek Circle,,,,
"1821, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 743-7474,13700 E Mississippi Ave,,,,
"1825, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 814-2246,575 Genoa Way,,,,
3581 Inc,,1,IHOP,1,No,CO,CO,1,(303) 252-0942,221 W. 104th Ave.,,,,
"3519, Inc",,1,IHOP,1,No,CO,CO,1,(720) 974-0757,389 S. Wadsworth Blvd,,,,
3803 Inc.,,1,IHOP,1,No,CO,CO,1,720-756-2990,12101 East Dartmouth Avenue,,,,
"Westminster 1830, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 410-8900,4730 W 120th Ave,,,,
"1818, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 790-1818,7017 S Clinton St,,,,
"2076, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 758-1492,1595 S. Colorado Blvd.,,,,
"1831, Inc.",,1,IHOP,1,No,CO,CO,1,(720) 344-7383,9565 S University Blvd,,,,
"3798, Inc.",,1,IHOP,1,No,CO,CO,1,720-815-6768,18700 East 32nd Parkway,,,,
3584 Inc,,1,IHOP,1,No,CO,CO,1,(303) 341-7125,13650 E. Colfax Ave.,,,,
"3574 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 632-2404,3090 N. Chestnut St,,,,
"2111 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 392-1900,6450 South Highway 85-87,,,,
"3500 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 574-7777,6005 Constitution Ave.,,,,
3073 Co Llc,,1,IHOP,1,No,CO,CO,1,(303) 285-0070,962 S. 4th Street,,,,
"1822 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 715-4211,4701 N Freeway Rd,,,,
"1827 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 635-0777,2290 Southgate Rd,,,,
1823 Co Llc,,1,IHOP,1,No,CO,CO,1,(970) 339-3334,2701 W 29th St,,,,
"3514 Co, Llc",,1,IHOP,1,No,CO,CO,1,(719) 275-2111,108 Latigo Lane,,,,
Mile & Half Foods Llc,,1,IHOP,1,No,CO,CO,1,(719) 589-3750,2025 Main St.,,,,
"La Familia, Inc.",,1,IHOP,1,No,CO,CO,1,(303) 425-1134,"5280 Wadsworth Bypass, Bldg P",,,,
"3705, Llc",,1,IHOP,1,No,CO,CO,1,719-593-1223,1344 Republic Drive,,,,
"Westland Ventures, Llc",,1,IHOP,1,No,CO,CO,1,(719) 775-9032,2495 William Ave.,,,,
"Fm Juice Company, Llc",,1,Jamba,1,No,COLORADO,COLORADO,1,303.342.8398,8600 E. Pena Blvd.,,,,
"Dia Juice, Llc",,1,Jamba,1,No,COLORADO,COLORADO,1,3033426742,"8900 Pena Blvd, Concourse C",,,,
"Mile High Subs, Llc",,1,Jimmy John's,1,No,CO,CO,1,303-420-0929,5220 Wadsworth Blvd,,,,
"Co 1333, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-523-1792,3203 I-70 Business Loop,,,,
Co 1321 Llc,,1,Jimmy John's,1,No,CO,CO,1,719-638-7827,9275 N Union Blvd,,,,
Co 3052 Llc,,1,Jimmy John's,1,No,CO,CO,1,719-599-4206,3604 Hartsel Dr,,,,
"Jjcs 3056, Llc",,1,Jimmy John's,1,No,CO,CO,1,719-434-4646,2710 S Academy Blvd,,,,
Co 968 Llc,,1,Jimmy John's,1,No,CO,CO,1,719-590-7827,1035 Garden of the Gods Rd,,,,
"Sand Dollar, Inc.",,1,Jimmy John's,1,No,CO,CO,1,719-227-7827,10 S Tejon St,,,,
"Peak Subs, Llc",,1,Jimmy John's,1,No,CO,CO,1,303-733-2620,361 E Alameda Ave,,,,
1840 Llc,,1,Jimmy John's,1,No,CO,CO,1,303-455-2055,3467 W 32nd Ave,,,,
Kram Llc,,1,Jimmy John's,1,No,CO,CO,1,303-316-4000,6110 E Colfax Ave,,,,
"Mr Companies, Llc",,1,Jimmy John's,1,No,CO,CO,1,303-756-4000,6300 E Hampden Ave,,,,
"Cmb Entity, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-468-9970,324 Dillon Ridge Way,,,,
Co 2779 Llc,,1,Jimmy John's,1,No,CO,CO,1,970-259-0577,1316 Main Ave,,,,
"Co 3977, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-639-8851,532 Raptor Rd,,,,
Ventures With Altitude Llc,,1,Jimmy John's,1,No,CO,CO,1,970-230-9044,1331 Grand Ave,,,,
"Co 1147, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-243-1752,2502 Hwy 6 and Hwy 50,,,,
"Co 3230, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-549-4001,1230 N 12th St,,,,
"Colorado Black Gold, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-515-5330,6925 W 10th St,,,,
Eam Llc,,1,Jimmy John's,1,No,CO,CO,1,303-862-5221,9567 S University Blvd,,,,
"1412, Llc",,1,Jimmy John's,1,No,CO,CO,1,303-984-1711,7850 W Alameda Blvd,,,,
"Summit Subs, Llc",,1,Jimmy John's,1,No,CO,CO,1,720-541-7434,3255 S Wadsworth Blvd,,,,
"757, Llc",,1,Jimmy John's,1,No,CO,CO,1,303-238-4424,7355 W Colfax Ave,,,,
"Karpe Mayo, Llc",,1,Jimmy John's,1,No,CO,CO,1,970-240-7908,221 S 5th St,,,,
"Isw, Inc.",,1,Jimmy John's,1,No,CO,CO,1,303-840-6446,18320 Cottonwood Dr,,,,
"Jjcs #2822, Llc",,1,Jimmy John's,1,No,CO,CO,1,719-686-6688,407 E Grace Ave,,,,
"Hart, George",,1,Jimmy John's,1,No,CO,CO,1,(719) 237-2279,14411 E. Colfax Ave,,,,
"Patel, Bhavesh M.",,1,Jimmy John's,1,No,CO,CO,1,(214) 998-1515,1115 Main St,,,,
"Kentucky Fried Chicken Of Alamosa, Inc.",,1,KFC,1,No,CO,CO,1,719/589-6297,2007 West Main Street,,,,
"Monument Chicken, Llc",,1,KFC,1,No,CO,CO,1,918/970-4296,16553 Cinematic View,,,,
"Pramukh, Llc",,1,KFC,1,No,CO,CO,1,954/981-7543,457-A US Highway 85-87,,,,
"Yummy For Your Tummy, Llc",,1,Little Caesars,1,No,COLORADO,COLORADO,1,(970) 399-7339,1760 BROAD STREET,,,,
"Mam Group, Llc",,1,Little Caesars,1,No,COLORADO,COLORADO,1,(303) 794-0404,5050 S FEDERAL BLVD UNIT 26,,,,
Abraham Asfaw,,1,McDonald's,1,No,CO,CO,1,303-766-4678,19893 E SMOKY HILL RD,,,,
Shane King,,1,McDonald's,1,No,CO,CO,1,970-245-3900,2438 C HWY 6 AND 50,,,,
Sharon S Koenig,,1,McDonald's,1,No,CO,CO,1,970-669-4211,1809 WEST EISENHOWER ROAD,,,,
Toni Rodgers,,1,McDonald's,1,No,CO,CO,1,248-797-5190,,,,,
Worldwide Restaurant Corporation,,1,Pizza Hut,1,No,CO,CO,1,970/565-4037,1119 E Main St,,,,
Hal W. Mccoy,,1,Pizza Hut,1,No,CO,CO,1,316/634-1190,,,,,
"Ssp America, Inc.",,1,Pizza Hut,1,No,CO,CO,1,703/729-2333,7770 Milton E. Proby Parkway,,,,
"Cajun Star, Inc.",,1,Popeyes,1,No,CO,CO,1,(303) 682-2364,11055 E I-25 Frontage Road,,,,
"Pop Of Colorado, Inc.",,1,Popeyes,1,No,CO,CO,1,(303) 590-1423,14500 W. Colfax Avenue,,,,
"Pop Of Park Meadows, Inc",,1,Popeyes,1,No,CO,CO,1,(303) 945-3004,8401 Park Meadows Center,,,,
